smiles,pIC50,docking_score
CC(C)(C)c1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,5.60103,-8.00447
CC(C)(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(=O)N3CCCCC3)ccn2)n1,7.30103,-7.99231
CC(C)(CO)c1ccc(C(=O)Nc2cc3c(cn2)c(Cl)cn3C2CC2)cc1,7.79794,-8.16859
CC(C)(CO)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,8.095880004336019,-8.2482
CC(C)(CO)c1ccc(C(=O)Nc2nc3ccc(-c4ccc(=O)[nH]c4)nc3s2)cc1,7.0,-9.33186
CC(C)(CO)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0,-8.50883
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5.0,-8.44744
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5.0,-7.76513
CC(C)(O)c1ccc(C(=O)Nc2cc(-c3cccc(CO)c3)n3nccc3n2)cc1,7.0,-9.40688
CC(C)(O)c1ccc(C(=O)Nc2cc(-c3ccccc3)n3nccc3n2)cc1,7.0,-8.62697
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC(CCO)CC3)n3nccc3n2)cc1,7.0,-8.80771
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCCC3)n3nccc3n2)cc1,7.0,-8.66952
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@@H](C(N)=O)C3)n3nccc3n2)cc1,7.0,-9.27109
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@H](C(=O)O)C3)n3nccc3n2)cc1,6.0,-9.13911
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@H]3C(N)=O)n3nccc3n2)cc1,6.0,-8.59526
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCOCC3)n3nccc3n2)cc1,7.0,-8.39196
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCc4[nH]cnc(=O)c4C3)n3nccc3n2)cc1,7.0,-9.20288
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCc4ccccc4C3)n3nccc3n2)cc1,7.0,-9.16771
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCn4cnnc4C3)n3nccc3n2)cc1,6.0,-9.1229
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CC3CC3)cn2)cc1,6.778416666666668,-7.67322
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CS(C)(=O)=O)cn2)cc1,4.907484999999999,-8.07358
CC(C)(O)c1ccc(C(=O)Nc2cc3c(cn2)c(Br)cn3CC2CC2)cc1,7.645869999999999,-8.01933
CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,7.906175489996436,-8.51993
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4ccc(=O)[nH]c4)nc3s2)cc1,7.0,-9.25148
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4ccncc4)nc3s2)cc1,6.50864,-9.44555
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0,-8.73566
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CCCC4)nc3s2)cc1,6.0,-8.89666
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CCCCC4)nc3s2)cc1,6.0,-9.14072
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CC[C@@H](O)C4)nc3s2)cc1,6.0,-8.829
CC(C)(O)c1ccc2c(c1)C(=O)N=C1C=CC=C(N1)c1nncn1CCCCO2,7.0,-7.42791
CC(C)=Cc1cccc2nc(NC(=O)c3cccnc3)nn12.Cl,5.22915,-8.03995
CC(C)C(C#N)C1CN(c2ccc(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)cc2)C1,7.0,-9.12438
CC(C)C(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,7.30103,-8.6469
CC(C)C(c1ccc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)cc1)N1CCOCC1,7.0,-9.30331
CC(C)CC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-9.97148
CC(C)CCOc1cccc(C2C(=C(O)c3ccc4c(c3)CC(C)O4)C(=O)C(=O)N2c2nc3ccc(F)cc3s2)c1,9.2839966563652,-8.01769
CC(C)CCOc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2c2nc3ccc(F)cc3s2)c1,6.282,-8.87896
CC(C)CCn1cc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CO3)cn1,7.73283,-9.9133
CC(C)CN(C)C(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964,-9.91566
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.25964,-9.39722
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.0,-9.25945
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,6.95861,-9.50364
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.25181,-9.97101
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-9.84601
CC(C)COC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964,-9.90459
CC(C)COC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-9.59775
CC(C)CS(=O)(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,8.25964,-10.06263
CC(C)CS(=O)(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964,-10.31652
CC(C)CS(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,8.25964,-9.69064
CC(C)CS(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-10.01907
CC(C)Cn1cc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CO3)cn1,7.95861,-9.57499
CC(C)N(C)C(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964,-10.74858
CC(C)N1CCN(c2cccc(-c3cnc(-c4cccc(-c5nncn5C(C)C)n4)o3)c2)CC1,7.30103,-8.91193
CC(C)N1CCN(c2ccnc(NC(=O)Nc3cccc(-c4nncn4C(C)C)n3)c2)CC1,7.30103,-8.68793
CC(C)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.90309,-10.57042
CC(C)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,7.25964,-9.96295
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1=O,6.0,-10.07613
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1=O,6.0,-10.12633
