smiles,pIC50
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,8.42833517631652
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccs4)ccc3n2)cc1,7.38722
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cn[nH]c4)ccc3n2)cc1,8.955792362636604
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,8.272159686320084
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,8.265760302203349
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1.Cl.Cl,7.85
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cn1,6.79588
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Br)ccc3n2)cc1,8.42833517631652
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(CO)ccc3n2)cc1,7.639557572425188
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,8.54691000433602
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(F)ccc3n2)cc1,8.218890270739436
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-c4cn[nH]c4)ccc3n2)cc1,7.46852
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-c4cnc[nH]4)ccc3n2)cc1,7.49485
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-n4ccnc4)ccc3n2)cc1,6.79588
CC(C)(C)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0
CC(C)(C)c1ccc(C2C(=C(O)c3ccc4c(c3)OCCO4)C(=O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,8.602059991327963
CC(C)(C)c1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,5.60103
CC(C)(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(=O)N3CCCCC3)ccn2)n1,7.30103
CC(C)(CO)c1ccc(C(=O)Nc2cc3c(cn2)c(Cl)cn3C2CC2)cc1,7.7979400000000005
CC(C)(CO)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,8.095880004336019
CC(C)(CO)c1ccc(C(=O)Nc2nc3ccc(-c4ccc(=O)[nH]c4)nc3s2)cc1,7.0
CC(C)(CO)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5.0
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5.0
